2026-07-16T09:01:20.899183+00:00 | JAVA_001_bubbleSort | java |  | openai-30e5fc231d39 | OK | 5d30eac7b2a0d2b9de4d685a54c55a584b65605c6900c9fe1f9e76d0cd7c82e0 | a85d43fb2c865ead84b8d1f7f27a6143c6e04a7af5b0f90679dc7a3e7d3b2af3 | 
2026-07-16T09:04:25.219255+00:00 | JAVA_013_romanToInt | java |  | openai-6183a4e455a4 | OK | 6d110bfebcde796302e934feb0fd9584f83d7bd5ed529f748023c5753e6e4db0 | 6ceae07b135ce7d4fac05f6b8e274b6a1197e3c9cc87d7e6ca1814669bc1bc6d | 
2026-07-16T09:04:34.434633+00:00 | JAVA_014_intToRoman | java |  | openai-1fbfb14cef5c | OK | c48f51bb0d5f1ba1cfe60c50307be7ddc83da8c1421bd232337ff301ddcbcd03 | 241a82c7561367615040c31e411ea91c8aa71e1a660ff2bf69d29bf316a57629 | 
2026-07-16T09:04:45.909492+00:00 | JAVA_015_longestPalindromeSubstring | java |  | openai-13267ad49680 | OK | 13c3e5670214af93e9e91d295c418e4d64440e21cbe8157b707806533248d337 | 5dc26648207a2cf5c5da102e398ab3122fbf2d29511127e2dc4403b1befe3599 | 
2026-07-16T09:04:57.586573+00:00 | JAVA_016_parseCsvLine | java |  | openai-ef4fe2851971 | OK | 07c32be15440c550ec59cc4c208318d7baa1d4fe09129444c7f25cab3a9c5c38 | e5e1474444a2f8e716af347f9f4c1556b75e7e63959d4b8424f60434df2ce4f8 | 
2026-07-16T09:05:03.341416+00:00 | JAVA_017_levenshteinDistance | java |  | openai-05c57037309d | OK | ffe02f33482e364d82bbb2a617141aa90b6820ca7d54d6d71b24b3b63d8d8ab9 | 385d430c6a3499a5b58ccc3997e33c938158455a6912252c595370bda80d2e8e | 
2026-07-16T09:05:14.144163+00:00 | JAVA_018_findPrimeFactors | java |  | openai-67db64b6b637 | OK | 00cd85ee4bdd3d0f3ef307625df2307dc1403ea9e973c15a5c57649522bc1a79 | b14ad26c1143c306b411b081b07db289eb3a472368dc9ad8241e6841b4ca5f9b | 
2026-07-16T09:05:43.657895+00:00 | JAVA_019_luhnCheck | java |  | openai-00aac831a6ab | OK | c7d67adc591c69560f311470bfe11f0dec7939e6427cb48d65755dd0a707c26a | d6c0635ef41f97a1c0b77446137e42d44e52e06c68b2d947d07842b9b7b8c685 | 
2026-07-16T09:06:01.269259+00:00 | JAVA_020_simpleHtmlTokenizer | java |  | openai-1034ecd88266 | OK | 906ad5ae5f88b16aaced4cb04f9ec3301313b951fbd8b9ac79189a34ed03474c | dd666c07b76151355cf1bec5ec05bb5ddfeba24ae5fbcf9424217c682cb0d4d4 | 
2026-07-16T09:06:10.490233+00:00 | JAVA_021_dijkstra | java |  | openai-0f80b8e5089c | OK | cf8e81768b773b5aed2ef774cbcb79289462005244fe79bcf7daa9f4c86c5360 | 5b1135e0e6b6c30030e291fdc4e1cfb40d298c0b11ea3aa75088e7bc9c319b9d | 
2026-07-16T09:06:25.016351+00:00 | JAVA_022_parseQueryString | java |  | openai-c1c605019e92 | OK | a86984eaae3c72370bada3f2263a7de5e54d759f9beca827cbf2be8c5936bd7b | fa3ada04ec69f56187ef9f5a9ca48771b0afca1b48a20a5d305abdc551003173 | 
2026-07-16T09:06:34.244784+00:00 | JAVA_023_dateDifference | java |  | openai-72304c4c384c | OK | bbba35eb9a7ae07c98c85d2e1684181daf67bf5c9355839571cbd378b5f8d40b | a412afc5115d2d44d0b8873d342f81ee106b4b858d078efac82cea56017cf0fb | 
2026-07-16T09:06:54.315164+00:00 | JAVA_024_isValidBST | java |  | openai-63fe47835d79 | OK | a4af491e1fc20ae1a9bb61b64dd1e3fbcd5bbb105a74edd94dba7eddcfd937be | bdba5eea403cc63fc75671ed8f51fa752e85b3575ba4e4dc5b4fbc44e9f58871 | 
2026-07-16T09:07:03.039933+00:00 | JAVA_025_isMatch | java |  | openai-a558a4458f69 | OK | 5f960a608455c5460a00306b3926fa785de7063b8d9b23d7229c2f1d85f37ff8 | af22af2b1873036bc336955fdbcaba0faac9ec4cef223a94782e1ad9b5ad762a | 
2026-07-16T08:53:44.716813+00:00 | PY_001_bubble_sort | python |  | openai-ad5365fde60c | OK | 26a527e57f67f37869d29a7a42fe7a3ea1561f4705fce8352b95aa24fceb35c0 | 5276629a4184beddfd6f244efe0dc4164bf7d4e74ba31b99d656e91b7d7364b0 | 
2026-07-16T08:53:52.183959+00:00 | PY_002_binary_search | python |  | openai-37e44ef2b1f3 | OK | ac67e2769ade5d8b1c236c33d23a43678f977fd3f99a521ef9d1e3267c848d49 | c04a16c23954a2eb36ff9e54a443ad28688861ddae668912648c2827fd77eb26 | 
2026-07-16T08:54:16.355061+00:00 | PY_003_is_valid_email | python |  | openai-2ec595636d14 | OK | c6ba5a2fe516aa7865ca04f6752da1d34b474491dce26359902f527721259e81 | 878c3f9c1963932b1726e6a4b661dd2c14ef804c36db78bcc7c1ba4685e9f175 | 
2026-07-16T08:54:23.414674+00:00 | PY_004_merge_intervals | python |  | openai-eec949a5c666 | OK | 79983b7eb85fa4394a0d8bd76a02dbb9f8bf485e40ebfb7e42fae2991513e583 | faaac65aefe33bccc657a7dd4bd1d5a5b197922335b84dca5da192b15ad9f42f | 
2026-07-16T08:54:35.231579+00:00 | PY_005_calculate_tax | python |  | openai-f38c3d82008d | OK | 3807671922cf2eac65d86f6d37aabcd6c8996ddb67d2876c4a296f16b80ea79d | c489bc154b704d5379c7aa472c61beb01a55e77a3ea8d14adace1486a2c86dc9 | 
2026-07-16T08:54:58.022223+00:00 | PY_006_validate_password | python |  | openai-9bacc5d663f5 | OK | 314fcefc34123fa3d070f761699b08d6b2c808aff2844e86792f378de257d645 | 8e6b0f5ae3082ff29f09e01fb52de75dbbe8cf5dfcf0fb4956f1bb5effa8cae4 | 
2026-07-16T08:55:06.115311+00:00 | PY_007_evaluate_rpn | python |  | openai-a047c4059b18 | OK | d1587dff90afe4388722f4267c376cdc49ed0dc5d18261a570cfa8c73bb4d3c5 | 6d35a19dae8fbc57bcc2b6f53ba6248ef05de128592b0ddaefb4396402cf2c8c | 
2026-07-16T08:55:16.557957+00:00 | PY_008_knapsack_01 | python |  | openai-2678ff64491f | OK | d420262936780ef1b479c60c0baf81868c330925a9d6ab5524cdbfddf7462cc2 | 13b3b60741e8f4c29c90a0417689bb9c413296a8ac5b839ab90426c7a2e6023b | 
2026-07-16T08:55:26.762588+00:00 | PY_009_json_path_lookup | python |  | openai-58cb684b05d5 | OK | a40db161ec836ac775ff3c268a40eaed45d77b7a926c6433aa5c4f87a7016d1f | 90ccd7bab3089e3bb90c2538ab320310ba5f8ef2853725d82a89872aeda56b45 | 
2026-07-16T08:55:33.763538+00:00 | PY_010_run_length_encoding | python |  | openai-9c4db73a8fa7 | OK | 92e8a56f0a92ea1a856d3607802cb7defd703f9b5c282c53d055e88499d82ba0 | 18e10da9bb0f4b8759dcbe64a982f6980ac4a71b48f93a62b181712181354b91 | 
2026-07-16T08:55:38.826175+00:00 | PY_011_run_length_decoding | python |  | openai-f82c2ed60c4c | OK | 27f72cd347b0f0f34917c8bc477bdd8e5757bb588430a5bcb2b9006e9ffaac2b | 9b48e74185d90d732ddaee23d7aafc061fd0c453293d74dd35455d47d3f64278 | 
2026-07-16T08:56:02.716486+00:00 | PY_012_check_sudoku_board | python |  | openai-fa9d2f51eafe | OK | a94cac0a653328a056e5603cadfabb058d51ac10c6913f36e35e803bcd91fc81 | c49155859a25efe71d4f11faa1846325e6b79ca21dd63501a4912ef2bcd1265b | 
2026-07-16T08:56:46.982076+00:00 | PY_013_roman_to_int | python |  | openai-96aecd5d3d84 | OK | 0f3decf627398110b3e4f67b13272332a9d6447e9e16794e7bb4d4cbd149af08 | d9523ee2200ba7048b7adec7b3d455800e982ddd0650cdc140ca562c853455b6 | 
2026-07-16T08:57:01.211695+00:00 | PY_014_int_to_roman | python |  | openai-8975995a3950 | OK | 0422d3d259e511ab2660a4cb31f7f41169f3eef6f609e317bdff43030dd30e09 | 0b9229354d3ae0117154002b08108a1ca9504cc9005b38073974014ec5aac88a | 
2026-07-16T08:57:07.011202+00:00 | PY_015_longest_palindrome_substring | python |  | openai-0c551e91161a | OK | b46354ad3ce172c339a5d58bc7b757c61e30f072433aa99067db273fa2e246b9 | 7248aa45b08692244821f296fc19c8c2fb431e09e46662bb035fedf92344127f | 
2026-07-16T08:57:14.216530+00:00 | PY_016_parse_csv_line | python |  | openai-567c4df6a8ff | OK | bf63ec39d15815403d08c0ef359b8b9d4498c811d09760c4e788b8c46cbe0591 | efaab46a6951e37d669a18bd5afcff5b0d6261e98e39428eadf542fef86acf09 | 
2026-07-16T08:57:47.089697+00:00 | PY_017_levenshtein_distance | python |  | openai-dbdce822c6d3 | OK | 6ecde59b12354618d4450918d44ba68d834fb010f749a89c9123fd82fcdf71b4 | 7a976d4c49bb78f5c834df893f5dc2b3ec806687ac2d60a3a4cbaa8ab319c5e1 | 
2026-07-16T08:57:52.620767+00:00 | PY_018_find_prime_factors | python |  | openai-512d013c9007 | OK | 05e86269d6cfaeb9ae6e0972bbea504c9c2990a8d20eb1dd20a2a6db78e134b0 | 4f9008e414c091adf4f891e352d14618228255f80427a68683ce05eb7ddf9a9b | 
2026-07-16T08:58:14.736608+00:00 | PY_019_luhn_check | python |  | openai-44f9ab43ac75 | OK | 559aaf319eadd30116663f42edf243ae202ed4585423b5d7e9b9280596bfe2c1 | 4389291ac7c83d0625a068373a545bb50343a211d16a00ce01c1ed9e791846d0 | 
2026-07-16T08:58:55.085544+00:00 | PY_020_simple_html_tokenizer | python |  | openai-3c12d5b5c83d | OK | accb0de91ecca34f69327ddbf25e1817165e290763ee8cd12e53b0e5c23740aa | 0693a3f4bf4dd964f6b88ed277610f09ff163f8d97155d2d53ffa4a1aa4713dc | 
2026-07-16T08:59:09.636923+00:00 | PY_021_dijkstra | python |  | openai-05c54a246938 | OK | 2aaff67dd4eefc1d6f4778c37b2890a88f7de41b197aafd8e706fac31e1187c4 | 4f51f9383dc28fa99920a12cf45716b01606b4da740e764eecf49a9d84be5072 | 
2026-07-16T08:59:15.538554+00:00 | PY_022_parse_query_string | python |  | openai-378dd715bbb9 | OK | f44dd51ff9fc38060ca42d2988e34ab4510a612d7a204d81d2a3754670ec1b89 | 98a680ba6b05291521a3c0ad8c3cfbb4ce701f3101aa5978bb35051804b79dca | 
2026-07-16T08:59:35.629883+00:00 | PY_023_date_difference | python |  | openai-47896a783dc3 | OK | 59fb8f54ea3b11486cbccacccddae09bf8eeb4fe6d7fb88d9fbca3d80184b030 | 2f4713615e9bba9b3d61e6bf82ad248ec99467e81496e3e21d711f4e42745b3d | 
2026-07-16T08:59:45.670853+00:00 | PY_024_is_valid_bst | python |  | openai-4d0c0b0f71e7 | OK | 12645afa36ffe9ccdaec2611c52c7d3843cf5abe822096582fdcb841c4f32054 | 9a91e242167128afcf3d04232e72202a593655c7aa81d0c9d53b1b169990911d | 
2026-07-16T09:00:58.137251+00:00 | PY_025_is_match | python |  | openai-2b0609e80ae5 | OK | c07a1a8a33ddf04b72a78bcc7b87941186fd0b6a0fcb60316a9cc1566e6f48f8 | c4017cdce7c5714a41e8264bf6395ed24babd9c6821c33d6b91815072b839f6a | 
