"unit_id","language","framework","repository_url","commit_sha","license","relative_path","start_line","end_line","symbol","cc_lizard_1_23_0","isolation_status","source_sha256","reviewer_1","reviewer_2","notes"
"JAVA_011_runLengthDecoding","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","280","306","runLengthDecoding","9","include","36a2461bbd22df6f90af81a1e9f778d772c2cba5fae3f8a263cd4beaad5e233a","Vinh","Nghi","static method"
"JAVA_012_checkSudokuBoard","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","309","334","checkSudokuBoard","13","include","0b73e8b2911ab8c3d6c8ce5a33affb4ef5ddd7ab6dff64b22eb06bcaeb3195ff","Vinh","Nghi","static method"
"JAVA_013_romanToInt","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","337","364","romanToInt","8","include","6ceae07b135ce7d4fac05f6b8e274b6a1197e3c9cc87d7e6ca1814669bc1bc6d","Vinh","Nghi","static method"
"JAVA_014_intToRoman","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","367","384","intToRoman","5","include","241a82c7561367615040c31e411ea91c8aa71e1a660ff2bf69d29bf316a57629","Vinh","Nghi","static method"
"JAVA_015_longestPalindromeSubstring","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","387","412","longestPalindromeSubstring","12","include","5dc26648207a2cf5c5da102e398ab3122fbf2d29511127e2dc4403b1befe3599","Vinh","Nghi","static method"
"JAVA_016_parseCsvLine","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","415","442","parseCsvLine","9","include","e5e1474444a2f8e716af347f9f4c1556b75e7e63959d4b8424f60434df2ce4f8","Vinh","Nghi","static method"
"JAVA_017_levenshteinDistance","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","445","468","levenshteinDistance","8","include","385d430c6a3499a5b58ccc3997e33c938158455a6912252c595370bda80d2e8e","Vinh","Nghi","static method"
"JAVA_018_findPrimeFactors","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","471","492","findPrimeFactors","6","include","b14ad26c1143c306b411b081b07db289eb3a472368dc9ad8241e6841b4ca5f9b","Vinh","Nghi","static method"
"JAVA_019_luhnCheck","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","495","518","luhnCheck","8","include","d6c0635ef41f97a1c0b77446137e42d44e52e06c68b2d947d07842b9b7b8c685","Vinh","Nghi","static method"
"JAVA_020_simpleHtmlTokenizer","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","521","551","simpleHtmlTokenizer","9","include","dd666c07b76151355cf1bec5ec05bb5ddfeba24ae5fbcf9424217c682cb0d4d4","Vinh","Nghi","static method"
"JAVA_021_dijkstra","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","554","583","dijkstra","14","include","5b1135e0e6b6c30030e291fdc4e1cfb40d298c0b11ea3aa75088e7bc9c319b9d","Vinh","Nghi","static method"
"JAVA_022_parseQueryString","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","586","626","parseQueryString","9","include","fa3ada04ec69f56187ef9f5a9ca48771b0afca1b48a20a5d305abdc551003173","Vinh","Nghi","static method"
"JAVA_023_dateDifference","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","629","664","dateDifference","8","include","a412afc5115d2d44d0b8873d342f81ee106b4b858d078efac82cea56017cf0fb","Vinh","Nghi","static method"
"JAVA_024_isValidBST","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","667","704","isValidBST","13","include","bdba5eea403cc63fc75671ed8f51fa752e85b3575ba4e4dc5b4fbc44e9f58871","Vinh","Nghi","static method"
"JAVA_025_isMatch","java","junit5","https://github.com/phamvohungnghi/SWT301-SE1944-Group6.git","7442df79460f6e0e2be137fb3f06145d0013c407","Course project internal use - no repository license file yet","experiment/input_code/java_dataset/JavaAlgorithms.java","707","720","isMatch","11","include","af22af2b1873036bc336955fdbcaba0faac9ec4cef223a94782e1ad9b5ad762a","Vinh","Nghi","static method"
